cpi_id,date,title,content,deception,subject,person,url,updated_link,source,speaker
14,2001-09-13,"Richard&nbsp;Clarke, <EM>Against All Enemies</EM>:<EM> </EM>Dismissing Ties Between Al Qaeda and Iraq Falls on Deaf Ears","Paul [Kurtz] was the most open-minded person on the staff, so I asked him to lead the special project to get the departments and agencies to once again look for a bin Laden link to Saddam Hussein. He chaired a meeting the next day [September 13] to develop an official position on the relationship between Iraq and Al Qaeda. All agencies and departments agreed, there was no cooperation between the two. A memorandum to that effect was sent up to the president, but there was never any indication that it reached him.",False,"Iraq, Al Qaeda","George W. Bush, Saddam Hussein, Richard Clarke",,,"<P>SOURCE: Richard A. Clarke, <EM>Against All Enemies: Inside America's War on Terror</EM> (New York: Free Press, 2004), page 33.</P>",
15,2001-09-14,"CIA's Covert War on bin Laden; Agency Has Had Green Light Since 1998, but Terrorist Proves Elusive","<P>Former CIA director R. James Woolsey said that Iraq would have multiple targets for military planners if it is conclusively demonstrated that Iraq ""had a substantial hand"" in Tuesday's attacks. </P>  <P>[text omitted]</P>  <P>Should such evidence materialize, Woolsey said, ""all instruments of power to the Iraqi state should be destroyed: the Republican Guard, everything associated with Saddam Hussein, everything associated with their weapons of mass destruction program."" </P>  <P>[text omitted]</P>  <P>Woolsey said he believes there is evidence suggesting that Ramzi Ahmed Yousef, the convicted mastermind of the 1993 World Trade Center bombing, was an Iraqi intelligence agent. ""If Iraq is behind the '93 attack, it's never really paid any price for that—and we can start right there,"" he said. ""But if it's behind the '93 attack, there's a good chance it's behind this one."" </P>",False,"WMD, Iraq","Richard Woolsey, Saddam Hussein",,,"SOURCE: Bob Woodward and Vernon Loeb, ""CIA's Covert War on bin Laden; Agency Has Had Green Light Since 1998, But Terrorist Proves Elusive,"" <EM>The Washington Post</EM>, September 13, 2001.",
16,2001-09-15,No Plans To Attack Iraq,"President Bush told Bob Woodward that the decision not to invade Iraq was made at the morning session on September 15. Iraq was not even on the table during the September 15 afternoon session, which dealt solely with Afghanistan. [Secretary of State Condoleezza] Rice said that when President Bush called her on Sunday, September 16, he said the focus would be on Afghanistan, although he still wanted plans for Iraq should the country take some action or the administration eventually determine that it had been involved in the 9/11 attacks.",False,Iraq,"George W. Bush, Condoleezza Rice",http://www.9-11commission.gov/report/911Report_Ch10.htm,,"<P>SOURCE: <EM>The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States</EM> (Washington, D.C.: U.S. Government Printing Office, 2004), page 335.</P>",
17,2001-09-16,"Vice President Dick Cheney, Interview on NBC's <EM>Meet the Press</EM>","Mr. Tim Russert: Saddam Hussein, your old friend, his government had this to say: ""The American cowboy is rearing the fruits of crime against humanity."" If we determine that Saddam Hussein is also harboring terrorists, and there's a track record there, would we have any reluctance of going after Saddam Hussein? <BR><BR>Vice President Cheney: No. <BR><BR>Mr. Russert: Do we have evidence that he's harboring terrorists? <BR><BR>Vice President Cheney: There is in the past, there have been some activities related to terrorism by Saddam Hussein. But at this stage, you know, the focus is over here on Al Qaeda and the most recent events in New York. Saddam Hussein's bottled up, at this point, but clearly, we continue to have a fairly tough policy where the Iraqis are concerned. <BR><BR>Mr. Russert: Do we have any evidence linking Saddam Hussein or Iraqis to this operation? <BR><BR>Vice President Cheney: No.",False,"Al Qaeda, Iraq","Richard B. Cheney, Saddam Hussein",http://georgewbush-whitehouse.archives.gov/vicepresident/news-speeches/speeches/vp20010916.html,,"SOURCE: Dick Cheney, Interview on <EM>Meet the Press</EM>, NBC, September 16, 2001.",
18,2001-09-17,"With No Clear Connection to Hussein, Deputy Defense Secretary Paul Wolfowitz Argues That He Must Have Been Involved","<P>At the September 17 NSC [National Security Council] meeting, there was some further discussion of ""phase two"" of the war on terrorism. President Bush ordered the Defense Department to be ready to deal with Iraq if Baghdad acted against U.S. interests, with plans to include possibly occupying Iraqi oil fields. </P>  <P>[text omitted] </P>  <P>Within the Pentagon, Deputy Secretary Wolfowitz continued to press the case for dealing with Iraq. Writing to [Donald] Rumsfeld on September 17 in a memo headlined ""Preventing More Events,"" he argued that if there was even a 10 percent chance that Saddam Hussein was behind the 9/11 attack, maximum priority should be placed on eliminating that threat. Wolfowitz contended that the odds were ""far more"" than&nbsp;one in 10, citing Saddam's praise for the attack, his long record of involvement in terrorism, and theories that Ramzi Yousef was an Iraqi agent and Iraq was behind the 1993 attack on the World Trade Center. The next day, Wolfowitz renewed the argument, writing to Rumsfeld about the interest of Yousef's co-conspirator in the 1995 Manila air plot in crashing an explosives-laden plane into CIA headquarters, and about information from a foreign government regarding Iraqis' involvement in the attempted hijacking of a Gulf Air flight. Given this background, he wondered why so little thought had been devoted to the danger of suicide pilots, seeing a ""failure of imagination"" and a mind-set that dismissed possibilities. </P>",False,Iraq,"George W. Bush, Saddam Hussein, Donald Rumsfeld, Paul Wolfowitz",http://www.9-11commission.gov/report/911Report_Ch10.htm,,"<P>SOURCE: <EM>The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States</EM>&nbsp;(Washington, D.C.: U.S. Government Printing Office, 2004), pages 335–336.</P>",
19,2001-09-18,Report Indicates No Compelling Case That Iraq Was Connected to 9/11,"Responding to a presidential tasking, [Richard] Clarke's office sent a memo to [National Security Adviser Condoleezza] Rice on September 18, titled ""Survey of Intelligence Information on Any Iraq Involvement in the September 11 Attacks."" Rice's chief staffer on Afghanistan, Zalmay Khalilzad, concurred in its conclusion that only some anecdotal evidence linked Iraq to Al Qaeda. The memo found no ""compelling case"" that Iraq had either planned or perpetrated the attacks. It passed along a few foreign intelligence reports, including the Czech report alleging an April 2001 Prague meeting between [Mohamed] Atta and an Iraqi intelligence officer (discussed in chapter 7) and a Polish report that personnel at the headquarters of Iraqi intelligence in Baghdad were told before September 11 to go on the streets to gauge crowd reaction to an unspecified event. Arguing that the case for links between Iraq and Al Qaeda was weak, the memo pointed out that bin Laden resented the secularism of Saddam Hussein's regime. Finally, the memo said, there was no confirmed reporting on Saddam cooperating with bin Laden on unconventional weapons.",False,"Iraq, Al Qaeda","Richard Clarke, Condoleezza Rice, Osama bin Laden, Saddam Hussein",http://www.9-11commission.gov/report/911Report_Ch10.htm,,"SOURCE: <EM>The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States</EM>&nbsp;(Washington, D.C.: U.S. Government Printing Office, 2004), page 334.",
20,2001-09-19,President Bush Speaks About Terrorists and Harboring Terrorists,"Question: Mr. President, do you have any reason to believe Iraq is connected with the terrorist attack? And if so, what would your response be? <BR><BR>And could I ask your guest if she could respond to her vice president saying that the tragedy would cleanse the sins of the United States? <BR><BR>President Bush: First, let me—anybody who harbors terrorists needs to fear the United States and the rest of the free world. Anybody who houses a terrorist, encourages terrorism will be held accountable. And we are gathering all evidence on this particular crime and other crimes against freedom-loving people. <BR><BR>And I would strongly urge any nation in the world to reject terrorism, expel terrorists. I would strongly urge the Taliban to turn over the Al Qaeda organizers who hide in their country. We're—we're on the case. We're gathering as much evidence as we possibly can to be able to make our case to the world about all countries and their willingness to harbor or not harbor terrorists. <BR><BR>Question: A specific message to Iraq? <BR><BR>President Bush: The message to every country is, there will be a campaign against terrorist activity, a worldwide campaign. And there is an outpouring of support for such a campaign. Freedom-loving people understand that terrorism knows no borders, that terrorists will strike in order to bring fear, to try to change the behavior of countries that love liberty. And we will not let them do that. <BR><BR>Now, this is a campaign in which nations will contribute in a variety of ways. Some nations will be willing to join in a very overt way. Other nations will be willing to join by sharing information—and information in a campaign such as this is going to be incredibly important. It's very important for us to be able to find where these people are. <BR><BR>There's going to need to be a campaign—there needs to be a financial component of the campaign, where we need to cooperate to make sure we cut off funds, find these organizations that serve as front groups for funding these terrorist cells. And so my message to all nations is we look forward to full cooperation.",False,Al Qaeda,George W. Bush,http://www.state.gov/s/ct/rls/rm/2001/5028.htm,,"SOURCE: Department of State, remarks of George W.&nbsp;Bush and Megawati Sukarnoputri, September 19, 2001.",
21,2001-09-19,Deputy Defense Secretary Paul Wolfowitz Takes Questions,"<P>Question: Mr. Wolfowitz, so much of the public discussion has been about Afghanistan's support for the Taliban. Do you feel there's an Iraqi connection to these attacks, and if so, how is that affecting our policy toward Iraq? <BR><BR>Wolfowitz: I think the president made it very clear today that this is about more than just one organization, it's about more than just one event, as horrible as that event was. We are engaged in a war against terrorism, against the terrorist networks, against state support for terrorism. And I think everyone has got to look at this problem with completely new eyes in a completely new light after what happened last Tuesday. <BR><BR>But if you go back to what the president said just earlier today, when he was greeting President Megawati of Indonesia, he made it very clear that this is about more than just one country or just one individual or just one organization.<BR><BR>Question: Mr. Secretary, can people expect to see military action soon? <BR><BR>Wolfowitz: You know that I don't answer questions like that.</P>",False,Iraq,Paul Wolfowitz,http://www.defenselink.mil/transcripts/transcript.aspx?transcriptid=1899,,"SOURCE: Office of the Assistant Secretary of Defense (Public Affairs), Paul Wolfowitz news transcript, September 19, 2001.",
22,2001-09-19,White House Press Briefing by Ari Fleischer,"Question: There's a press report I'm sure you're aware of that the pilot of one of the planes that hit one of the towers of the World Trade Center met last year with the head of intelligence from Iraq. Iraq denies it. Can you confirm that meeting took place? <BR><BR>Mr. Fleischer: I'm aware of the report, but I'm not in a position to confirm or give you any further indication on that. <BR><BR>Question: Do you think there was more—that there were more attempts either scheduled to be made the same day or on some other date, even if it's not the 22nd? <BR><BR>Mr. Fleischer: You know, I can't speculate, Bill. I know that— <BR><BR>Question: You've not heard one way or the other? <BR><BR>Mr. Fleischer: I haven't heard anything conclusive. I just know that this is a time to be cautious. Concerns are ongoing.",False,Iraq,Ari Fleischer,http://georgewbush-whitehouse.archives.gov/news/releases/2001/09/20010919-7.html,,"SOURCE: Office of the White House Press Secretary, press briefing by Ari Fleischer, September 19, 2001.",
23,2001-09-19,A Nation Challenged: The Investigation; Officials Say Two More Jets May Have Been in the Plot,"<P>American intelligence officials also said today that they had received a report that Mohamed Atta, a suspected hijacker on American Airlines Flight 11, which struck the World Trade Center North Tower, met several months ago with an Iraqi intelligence official in Europe. The American officials said the report of the meeting had been received in the last few days. </P>  <P>[text omitted]</P>  <P>The officials said they were not sure of the purpose of the meeting, if it did occur, and were investigating the possible connection. They emphasized that it did not prove that Iraq played a role in the attacks. </P>",False,Iraq,,http://query.nytimes.com/gst/fullpage.html?sec=technology&res=940DE2D8123BF93AA2575AC0A9679C8B63,,"SOURCE: David Johnston and James Risen, ""A Nation Challenged: The Investigation; Officials Say Two More Jets May Have Been in the Plot,"" <EM>The New York Times</EM>, September 19, 2001.",
24,2001-09-19,Military Begins To Strategize About Possible Strikes Outside of Afghanistan,"On September 19, [Defense Secretary Donald] Rumsfeld offered several thoughts for his commanders as they worked on their contingency plans. Though he emphasized the worldwide nature of the conflict, the references to specific enemies or regions named only the Taliban, Al Qaeda, and Afghanistan. [General Hugh] Shelton told us the administration reviewed all the Pentagon's war plans and challenged certain assumptions underlying them, as any prudent organization or leader should do. <BR><BR>General Tommy Franks, the commanding general of Central Command, recalled receiving Rumsfeld's guidance that each regional commander should assess what these plans meant for his area of responsibility. He knew he would soon be striking the Taliban and Al Qaeda in Afghanistan. But, he told us, he now wondered how that action was connected to what might need to be done in Somalia, Yemen, or Iraq.",False,"Iraq, Al Qaeda","Donald Rumsfeld, Gen. Tommy Franks",http://www.9-11commission.gov/report/911Report_Ch10.htm,,"<P>SOURCE: <EM>The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States</EM>&nbsp;(Washington, D.C.: U.S. Government Printing Office, 2004), page 336.</P>  <P>&nbsp;</P>  <P>&nbsp;</P>",
25,2001-09-19,"Ron Suskind, <EM>The One Percent Doctrine</EM>: Discussion Between CIA Director George Tenet and President Bush Regarding Linking Al Qaeda and Iraq","<P>Now, in a briefing with George Tenet on September 19, he [President Bush] and the vice president made a more formal run at the issue. ""I want to know about links between Saddam and Al Qaeda,"" Bush said to Tenet. ""The vice president knows some things that might be helpful."" </P>  <P>[text omitted]</P>  <P>One of them, Cheney told Tenet, had picked up a report that one of the hijackers, Mohamed Atta, had met in Prague, in the Czech Republic, with a senior Iraqi intelligence agent five months before the attacks. The DCI [Director of Central Intelligence] was surprised. ""We'll get right on it, Mr. Vice President.""</P>",False,"Iraq, Al Qaeda","George W. Bush, George Tenet, Richard B. Cheney, Saddam Hussein",,,"SOURCE: Ron Suskind, <EM>The One Percent Doctrine: Deep Inside America's Pursuit of Its Enemies Since 9/11</EM>&nbsp;(New York: Simon &amp; Schuster, 2006), pages 22–23.",
26,2001-09-20,President Bush's Address to&nbsp;the Congress and the Nation,Editor's note: President Bush does not mention Iraq or Saddam Hussein&nbsp;in connection with&nbsp;the war on terror in his address to a joint session of Congress and the nation.,False,Iraq,"George W. Bush, Saddam Hussein",http://georgewbush-whitehouse.archives.gov/news/releases/2001/09/20010920-8.html,,"SOURCE: Office of the White House Press Secretary, address to a joint session of Congress and the American people, September 20, 2001.",
27,2001-09-20,Administration Splits Over Whether To Attack Iraq,"Advisers to President Bush are heatedly debating whether to widen the war on terrorism to include an old nemesis of the Bush family: Iraqi President Saddam Hussein. Conservatives inside the administration are pressing Bush to consider strikes on the Iraqi capital of Baghdad with the aim of toppling Saddam's regime. But State Department diplomats warn that an attack on Iraq could fracture the delicate coalition of Muslim nations that Bush is trying to assemble to combat Osama bin Laden's terrorist network. <BR><BR>The split largely divides senior officials at the Pentagon and the State Department. Deputy Secretary of Defense Paul Wolfowitz and Undersecretary of Defense Douglas Feith—backed by Vice President Cheney—favor targeting Iraq, administration sources say. They declined to say what military action might be taken. Their case was bolstered this week when U.S. intelligence officials revealed that a hijacker aboard one of the jetliners that crashed into the World Trade Center, Mohamed Atta, met earlier this year in Europe with an Iraqi intelligence agent.",False,"Iraq, Al Qaeda","George W. Bush, Saddam Hussein, Osama bin Laden, Paul Wolfowitz, Douglas Feith, Richard B. Cheney",,,"SOURCE: Jonathan Weisman, ""Administration Split Over Whether To Attack Iraq,"" <EM>USA Today</EM>, September 20, 2001, final edition, page 6A.",
28,2001-09-20,"Project for the New American Century Writes President Bush, Strongly Urging the Removal of Saddam Hussein","We agree with Secretary of State [Colin] Powell's recent statement that Saddam Hussein ""is one of the leading terrorists on the face of the Earth . . ."" It may be that the Iraqi government provided assistance in some form to the recent attack on the United States. But even if evidence does not link Iraq directly to the attack, any strategy aiming at the eradication of terrorism and its sponsors must include a determined effort to remove Saddam Hussein from power in Iraq. Failure to undertake such an effort will constitute an early and perhaps decisive surrender in the war on international terrorism. The United States must therefore provide full military and financial support to the Iraqi opposition. American military force should be used to provide a ""safe zone"" in Iraq from which the opposition can operate. And American forces must be prepared to back up our commitment to the Iraqi opposition by all necessary means.",False,Iraq,"Colin Powell, Saddam Hussein, George W. Bush",http://www.newamericancentury.org/Bushletter.htm,,"SOURCE: Project for the New American Century, letter to George W. Bush, September 20, 2001.",
29,2001-09-20,Troops Set Off To Prepare for Military Action: White House Looks at Easing Sanctions on Potential Ally Pakistan,"The United States has begun to move forces to prepare for military action following the September 11 terrorist attacks on New York and Washington. Donald Rumsfeld, defence secretary, has signed the order for the movements that represent the first stage of a campaign that has been named Operation Infinite Justice. News organisations said the movements included the transfer from the United States&nbsp;to the Gulf region of more than 100 fighter and bomber aircraft to join more than 200 that have been based in that region patrolling Iraq.",False,Iraq,Donald Rumsfeld,,,"SOURCE: Edward Alden, Farhan Bokhari, Stephen Fidler, Andrew Jack, and Edward Luce, ""Troops Set Off To Prepare for Military Action: White House Looks at Easing Sanctions on Potential Ally Pakistan,"" <EM>Financial Times</EM>, September 20, 2001.",
